White T-shirt Men,White T-shirt Women,Denim Jeans Men,Denim Jeans Women,Underwear Men,Underwear Women,Socks Men,Sock Women,Canvas Sneaker Men,Canvase Sneaker Women
2.67,9.5,25.88,29.98,4.79,1.66,1.12,2.28,20.99,18.2
3.33,8,21.99,28.7,3.19,2.25,2.11,1.1,25,34.98
2.5,4.63,19.99,15.99,3.74,1.58,1.72,4.67,59.95,59.9
5.5,4.84,27.01,13.44,7.14,1.83,3.17,2.33,63.8,42.99
3.34,8.45,33.77,23.2,7.5,3.67,1.21,1.68,24,28.13
6.56,4.75,39.99,20.2,1.87,3.75,1.67,1.83,29.99,34.99
4.93,9.14,24.99,29.49,4,1.45,5.57,2.71,58.27,62.82
3.76,7,26.29,134.25,5.66,2.66,1.19,1.67,51.96,39
5.3,13.99,39.99,35.98,5.35,2,1.21,2.32,79.99,19.99
6,12.98,39.77,39.99,7.33,2.33,2.42,1.59,51.95,24.99
3.07,8.26,30.2,28.99,5.398,1.74,4,3,36.99,29.85
3.34,9.5,49.97,28.77,3.6,2.33,2.09,1.3,45.49,71.99
3.25,18.99,29.99,48.99,3.2,2.75,3.18,2.17,60,79.95
2.37,16.99,32.99,81.75,3.2,2.29,2.81,1.5,20.99,40
6,6.06,28.99,39.99,14.17,4.6,1.38,1.96,29.99,39.95
8.74,18.99,33.49,33.99,5.33,7.5,3.33,6.1,21.99,24.99
2.83,16.99,39.99,36.95,3.04,1.83,1.25,1.41,64.6,44.95
6.49,7.5,36.99,45.54,1.66,9.15,3.33,6.49,44.96,34.95
2.5,10.5,39.99,28.77,3.25,7.5,4.33,2.67,53.37,39.99
8.83,7,44.99,16.47,3.6,2.33,2,2.67,47.17,33.17
3.25,7,49.99,50.75,3.39,1.33,2.16,2.75,59.95,94.21
8.47,9.45,36,49.99,3.74,1.58,2,7,34.99,24.9
9.5,9.45,34.99,30.55,7,8.87,2.24,1.52,40.09,39.12
5,18.99,28.8,49.99,5.66,4.17,1.21,8.67,64,40.02
